Thu Jul 03 10:25:42 2014    11classes_transform.stats

         6735706 function calls (6214753 primitive calls) in 14.165 CPU seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  746/316    0.003    0.000   14.165    0.045 e:\Develop\desarrollo\python\other\pylint-playero-plugin\Playero.py:10(classes_transform)
      153    0.029    0.000   14.118    0.092 e:\Develop\desarrollo\python\other\pylint-playero-plugin\Playero.py:48(buildRecordModule)
    14077    0.083    0.000   10.859    0.001 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\builder.py:137(string_build)
    14077    0.062    0.000    9.418    0.001 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\builder.py:160(_data_build)
    14077    0.094    0.000    7.982    0.001 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:147(visit_module)
259448/14077    0.454    0.000    7.655    0.001 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:157(visit)
      308    0.030    0.000    7.652    0.025 e:\Develop\desarrollo\python\other\pylint-playero-plugin\Playero.py:125(buildInstantiator)
    48844    0.535    0.000    7.470    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:499(visit_function)
      430    0.031    0.000    5.462    0.013 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:322(visit_class)
    48844    0.890    0.000    3.786    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:176(visit_arguments)
10483/628    0.045    0.000    3.133    0.005 e:\Develop\desarrollo\python\other\pylint-playero-plugin\cache.py:20(new_f)
    13647    0.063    0.000    3.056    0.000 e:\Develop\desarrollo\python\other\pylint-playero-plugin\Playero.py:139(buildMethod)
  146/138    0.270    0.002    2.983    0.022 e:\Develop\desarrollo\python\other\pylint-playero-plugin\funcs.py:127(getClassInfo)
    14197    2.106    0.000    2.106    0.000 {compile}
    14077    0.012    0.000    1.328    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\builder.py:38(parse)
    14077    0.029    0.000    1.316    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\builder.py:143(_post_build)
    48844    1.310    0.000    1.310    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\scoped_nodes.py:543(__init__)
    15941    0.076    0.000    1.272    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\builder.py:201(delayed_assattr)
63764/31882    0.123    0.000    1.141    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:307(wrapped)
    81034    0.264    0.000    1.116    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:645(visit_name)
     7592    1.025    0.000    1.025    0.000 {nt.listdir}
   273525    0.769    0.000    0.899    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:413(last_child)
   224251    0.236    0.000    0.885    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:510(set_line_info)
      120    0.009    0.000    0.869    0.007 e:\Develop\desarrollo\python\other\pylint-playero-plugin\pyparse.py:5(parseScript)
    15941    0.100    0.000    0.849    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:224(visit_assign)
      120    0.000    0.000    0.790    0.007 c:\Python26\lib\ast.py:32(parse)
    48844    0.126    0.000    0.649    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:524(_fixed_source_line)
   209292    0.445    0.000    0.608    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:104(_lineno_parent)
    15941    0.033    0.000    0.530    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\inference.py:144(infer_name)
    48844    0.524    0.000    0.524    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\node_classes.py:262(__init__)
    97444    0.126    0.000    0.523    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\node_classes.py:315(get_children)
     8906    0.017    0.000    0.521    0.000 c:\Python26\lib\genericpath.py:15(exists)
63764/31882    0.127    0.000    0.509    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:97(_infer_stmts)
     8906    0.503    0.000    0.503    0.000 {nt.stat}
    15941    0.064    0.000    0.479    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:541(visit_getattr)
    15941    0.021    0.000    0.468    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\node_classes.py:108(lookup)
   180509    0.357    0.000    0.435    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\scoped_nodes.py:146(set_local)
    15941    0.019    0.000    0.412    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\scoped_nodes.py:522(scope_lookup)
    97444    0.378    0.000    0.396    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:402(get_children)
    15941    0.035    0.000    0.393    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\scoped_nodes.py:127(_scope_lookup)
    15941    0.158    0.000    0.358    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\node_classes.py:131(_filter_stmts)
    64233    0.158    0.000    0.290    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:111(_set_infos)
      122    0.002    0.000    0.287    0.002 e:\Develop\desarrollo\python\other\pylint-playero-plugin\Playero.py:105(buildIterator)
    48292    0.049    0.000    0.265    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:680(visit_pass)
    15941    0.083    0.000    0.205    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\inference.py:351(infer_ass)
   273525    0.149    0.000    0.196    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\manager.py:280(transform)
   563742    0.195    0.000    0.195    0.000 {hasattr}
    48600    0.062    0.000    0.191    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:168(_save_assignment)
   506218    0.166    0.000    0.166    0.000 {getattr}
      112    0.007    0.000    0.145    0.001 e:\Develop\desarrollo\python\other\pylint-playero-plugin\funcs.py:70(getRecordsInfo)
      250    0.002    0.000    0.131    0.001 e:\Develop\desarrollo\python\other\pylint-playero-plugin\parse.py:8(parseRecordXML)
