Thu Jun 26 16:04:11 2014    classes_transform.stats

         6437059 function calls (5945724 primitive calls) in 24.335 CPU seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  717/306    0.007    0.000   24.335    0.080 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\Playero.py:10(classes_transform)
      147    0.047    0.000   23.672    0.161 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\Playero.py:44(buildRecordModule)
    13427    0.149    0.000   16.451    0.001 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\builder.py:137(string_build)
    13427    0.103    0.000   14.150    0.001 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\builder.py:160(_data_build)
      295    0.047    0.000   11.979    0.041 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\Playero.py:118(buildInstantiator)
    13427    0.156    0.000   11.223    0.001 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:147(visit_module)
248287/13427    0.695    0.000   10.597    0.001 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:157(visit)
    46666    0.791    0.000   10.164    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:499(visit_function)
      411    0.053    0.000    7.907    0.019 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:322(visit_class)
2328/1372    0.060    0.000    7.610    0.006 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\cache.py:13(new_f)
  139/131    0.419    0.003    5.262    0.040 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\funcs.py:134(getClassInfo)
    46666    1.512    0.000    5.157    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:176(visit_arguments)
    13540    4.607    0.000    4.607    0.000 {compile}
    13016    0.105    0.000    4.215    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\Playero.py:132(buildMethod)
    13427    0.020    0.000    2.749    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\builder.py:38(parse)
      132    0.012    0.000    2.333    0.018 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\funcs.py:77(getRecordsInfo)
      272    0.004    0.000    2.310    0.008 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\parse.py:8(parseRecordXML)
      272    0.004    0.000    2.260    0.008 c:\Python26\lib\xml\sax\expatreader.py:100(parse)
      272    0.005    0.000    2.244    0.008 c:\Python26\lib\xml\sax\xmlreader.py:115(parse)
      657    2.139    0.003    2.139    0.003 {method 'read' of 'file' objects}
    77625    0.437    0.000    2.094    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:645(visit_name)
