Thu Jun 26 15:18:14 2014    buildRecordModule.stats

         6426330 function calls (5935708 primitive calls) in 20.287 CPU seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      147    0.044    0.000   20.287    0.138 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\Playero.py:43(buildRecordModule)
    13426    0.128    0.000   15.576    0.001 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\builder.py:137(string_build)
    13426    0.092    0.000   13.408    0.001 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\builder.py:160(_data_build)
      294    0.042    0.000   11.570    0.039 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\Playero.py:119(buildInstantiator)
    13426    0.137    0.000   10.309    0.001 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:147(visit_module)
248222/13426    0.646    0.000    9.760    0.001 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:157(visit)
    46658    0.740    0.000    9.352    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:499(visit_function)
      410    0.047    0.000    7.339    0.018 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:322(visit_class)
1990/1040    0.047    0.000    4.468    0.004 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\cache.py:13(new_f)
    46658    0.971    0.000    4.466    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:176(visit_arguments)
  138/130    0.399    0.003    4.250    0.033 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\funcs.py:134(getClassInfo)
    13536    4.056    0.000    4.056    0.000 {compile}
    13016    0.095    0.000    3.784    0.000 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\Playero.py:133(buildMethod)
    13426    0.018    0.000    2.942    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\builder.py:38(parse)
    77600    0.799    0.000    2.025    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:645(visit_name)
    13426    0.043    0.000    1.973    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\builder.py:143(_post_build)
    15324    0.114    0.000    1.910    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\builder.py:201(delayed_assattr)
61296/30648    0.182    0.000    1.712    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:307(wrapped)
    15324    0.146    0.000    1.680    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:224(visit_assign)
   214580    0.342    0.000    1.512    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:510(set_line_info)
     7176    1.477    0.000    1.477    0.000 {nt.listdir}
   261648    1.048    0.000    1.248    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:413(last_child)
      110    0.013    0.000    1.243    0.011 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\pyparse.py:5(parseScript)
    46658    0.187    0.000    1.171    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:524(_fixed_source_line)
      110    0.000    0.000    1.132    0.010 c:\Python26\lib\ast.py:32(parse)
    15324    0.092    0.000    1.126    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:541(visit_getattr)
    46658    1.007    0.000    1.007    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\scoped_nodes.py:543(__init__)
    93084    0.193    0.000    0.984    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\node_classes.py:315(get_children)
    15324    0.046    0.000    0.800    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\inference.py:144(infer_name)
    93084    0.766    0.000    0.791    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:402(get_children)
61296/30648    0.183    0.000    0.756    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:97(_infer_stmts)
     8418    0.027    0.000    0.740    0.000 c:\Python26\lib\genericpath.py:15(exists)
   200192    0.475    0.000    0.728    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:104(_lineno_parent)
    15324    0.030    0.000    0.713    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\node_classes.py:108(lookup)
     8418    0.713    0.000    0.713    0.000 {nt.stat}
    15324    0.027    0.000    0.635    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\scoped_nodes.py:522(scope_lookup)
    15324    0.054    0.000    0.608    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\scoped_nodes.py:127(_scope_lookup)
    15324    0.254    0.000    0.553    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\node_classes.py:131(_filter_stmts)
   172456    0.306    0.000    0.438    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\scoped_nodes.py:146(set_local)
    61456    0.221    0.000    0.430    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:111(_set_infos)
      116    0.004    0.000    0.419    0.004 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\Playero.py:99(buildIterator)
    46658    0.408    0.000    0.408    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\node_classes.py:262(__init__)
    46132    0.069    0.000    0.391    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:680(visit_pass)
   539434    0.318    0.000    0.318    0.000 {hasattr}
    15324    0.128    0.000    0.306    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\inference.py:351(infer_ass)
    46426    0.089    0.000    0.296    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:168(_save_assignment)
   261648    0.220    0.000    0.293    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\manager.py:280(transform)
   483732    0.250    0.000    0.250    0.000 {getattr}
    46426    0.051    0.000    0.207    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:548(set_local)
      131    0.011    0.000    0.206    0.002 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\funcs.py:77(getRecordsInfo)
      271    0.003    0.000    0.186    0.001 e:\Develop\desarrollo\python\other\sublimetext-playero-plugin\parse.py:8(parseRecordXML)
   382107    0.173    0.000    0.173    0.000 {isinstance}
   244573    0.164    0.000    0.164    0.000 {method 'split' of 'str' objects}
    13426    0.147    0.000    0.147    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\scoped_nodes.py:248(__init__)
      271    0.003    0.000    0.141    0.001 c:\Python26\lib\xml\sax\expatreader.py:100(parse)
   281037    0.129    0.000    0.129    0.000 {method 'append' of 'list' objects}
      271    0.005    0.000    0.126    0.000 c:\Python26\lib\xml\sax\xmlreader.py:115(parse)
    30648    0.033    0.000    0.122    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\protocols.py:250(arguments_assigned_stmts)
    60494    0.076    0.000    0.119    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:93(_init_set_doc)
168564/61296    0.115    0.000    0.115    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:434(statement)
   325605    0.107    0.000    0.107    0.000 {method 'endswith' of 'str' objects}
