Thu Jul 03 14:47:38 2014    6modules_transform.stats

         2914781 function calls (2562177 primitive calls) in 5.836 CPU seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 1174/858    0.002    0.000    5.836    0.007 e:\Develop\desarrollo\python\other\pylint-playero-plugin\Playero.py:27(modules_transform)
   301/57    0.020    0.000    5.152    0.090 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\builder.py:137(string_build)
       92    0.003    0.000    4.759    0.052 e:\Develop\desarrollo\python\other\pylint-playero-plugin\Playero.py:156(buildSuperClassModule)
       60    0.003    0.000    4.749    0.079 e:\Develop\desarrollo\python\other\pylint-playero-plugin\Playero.py:195(buildSuperClass)
   313/69    0.004    0.000    4.640    0.067 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\builder.py:160(_data_build)
   313/69    0.003    0.000    4.541    0.066 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:147(visit_module)
107306/268    0.160    0.000    4.459    0.017 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:157(visit)
17350/1379    0.176    0.000    4.218    0.003 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:499(visit_function)
107622/18785    0.048    0.000    4.137    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\manager.py:280(transform)
   289/97    0.001    0.000    4.000    0.041 e:\Develop\desarrollo\python\other\pylint-playero-plugin\Playero.py:9(classes_transform)
       65    0.009    0.000    3.998    0.062 e:\Develop\desarrollo\python\other\pylint-playero-plugin\Playero.py:47(buildRecordModule)
      130    0.013    0.000    2.972    0.023 e:\Develop\desarrollo\python\other\pylint-playero-plugin\Playero.py:124(buildInstantiator)
      289    0.016    0.000    2.275    0.008 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:322(visit_class)
  313/227    0.006    0.000    1.912    0.008 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\builder.py:143(_post_build)
7608/6647    0.037    0.000    1.769    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\builder.py:201(delayed_assattr)
30571/13295    0.061    0.000    1.713    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:307(wrapped)
11847/4387    0.023    0.000    1.616    0.000 e:\Develop\desarrollo\python\other\pylint-playero-plugin\cache.py:20(new_f)
  114/113    0.203    0.002    1.592    0.014 e:\Develop\desarrollo\python\other\pylint-playero-plugin\funcs.py:127(getClassInfo)
30503/13302    0.063    0.000    1.444    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:97(_infer_stmts)
      2/1    0.000    0.000    1.388    1.388 e:\Develop\desarrollo\python\other\pylint-playero-plugin\Playero.py:218(buildCore)
     92/4    0.002    0.000    1.369    0.342 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\builder.py:180(add_from_names_to_locals)
     35/1    0.000    0.000    1.369    1.369 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\brain\py2gi.py:121(_new_import_module)
     35/1    0.000    0.000    1.368    1.368 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\scoped_nodes.py:347(import_module)
     66/1    0.001    0.000    1.368    1.368 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\manager.py:110(ast_from_module_name)
     12/1    0.001    0.000    1.350    1.350 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\manager.py:88(ast_from_file)
     12/1    0.002    0.000    1.350    1.350 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\builder.py:113(file_build)
    17352    0.273    0.000    1.312    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\rebuilder.py:176(visit_arguments)
    17/12    0.000    0.000    1.212    0.101 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\mixins.py:88(do_import_module)
  863/681    0.001    0.000    1.181    0.002 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:335(wrapper)
    45/21    0.000    0.000    1.180    0.056 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\inference.py:156(infer_callfunc)
     11/6    0.000    0.000    1.008    0.168 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\inference.py:193(infer_from)
     5928    0.780    0.000    0.780    0.000 {nt.listdir}
      323    0.647    0.002    0.647    0.002 {compile}
      313    0.001    0.000    0.630    0.002 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\builder.py:38(parse)
    89645    0.097    0.000    0.534    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:510(set_line_info)
       50    0.001    0.000    0.465    0.009 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\manager.py:159(file_from_module_name)
       40    0.000    0.000    0.464    0.012 c:\Python26\lib\site-packages\logilab_common-0.61.0-py2.6.egg\logilab\common\modutils.py:254(file_from_modpath)
       40    0.001    0.000    0.464    0.012 c:\Python26\lib\site-packages\logilab_common-0.61.0-py2.6.egg\logilab\common\modutils.py:542(_file_from_modpath)
       40    0.004    0.000    0.463    0.012 c:\Python26\lib\site-packages\logilab_common-0.61.0-py2.6.egg\logilab\common\modutils.py:584(_module_file)
    17555    0.115    0.000    0.436    0.000 c:\Python26\lib\site-packages\astroid-1.1.1-py2.6.egg\astroid\bases.py:524(_fixed_source_line)
       45    0.388    0.009    0.388    0.009 {imp.find_module}
